Problem TCARP-S7
Number of Nodes 
  17
Number of Arcs 
  24
Depot 
   1
Link No  Node I  Node J  Demand  Cost
   1       1       5       2       1    
   2       4       5       2       1    
   3       6      11       3       1    
   4       6       8       2       1    
   5       6       7       3       1    
   6       7       9       3       1    
   7       7      10       3       1    
   8       9      12       2       1    
   9      12      13       2       1    
  10      13      16       2       1    
  11      13      17       2       1    
  12       2       3       2       1    
  13       1       3       5       2    
  14       1       4       2       1    
  15       5       6       2       1    
  16       4       6       2       1    
  17       3       7       2       1    
  18       9      10       2       1    
  19       7      11       5       2    
  20      13      14       2       1    
  21      12      14       2       1    
  22      14      15       2       1    
  23      10      17       2       1    
  24      11      17       2       1 
