No of Nodes
   44
No of Arcs
   50
Depot
   1
LinkNo  NodeI  NodeJ  Demand  Cost 
    1      1      3     2     1
    2      2     10     2     1
    3      3      7     2     1
    4      3     10     2     1
    5      4     15     2     1
    6      5     15     3     1
    7      5     16     2     1
    8      5     20     3     1
    9      6      9     3     1
   10      7      9     3     1
   11      7     12     2     1
   12      8      9     2     1
   13     10     11     2     1
   14     11     12     2     1
   15     11     14     2     1
   16     12     13     2     1
   17     14     15     2     1
   18     14     17     2     1
   19     14     22     3     1
   20     15     16     2     1
   21     16     19     2     1
   22     17     18     2     1
   23     17     24     5     2
   24     19     25     5     2
   25     19     31     4     2
   26     21     26     2     1
   27     22     23     2     1
   28     22     27     5     2
   29     24     25     2     1
   30     24     27     3     1
   31     25     33     2     1
   32     26     27     2     1
   33     26     28     2     1
   34     28     29     2     1
   35     28     33     4     2
   36     29     30     2     1
   37     29     38     2     1
   38     31     34     2     1
   39     31     36     4     2
   40     32     34     2     1
   41     33     36     4     2
   42     34     35     2     1
   43     36     40     2     1
   44     37     38     2     1
   45     38     39     5     2
   46     39     40     3     1
   47     39     41     2     1
   48     40     43     2     1
   49     42     43     2     1
   50     43     44     2     1
